dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
places365,accuracy_epoch_1,nn_total_layers,1699,0.08774,0.0,0.091799,0.000151,0.091799,0.0,True,0.0002473829787234043,True
mnist,accuracy_epoch_1,nn_total_layers,21301,0.085767,0.0,0.112545,0.0,0.112545,0.0,True,0.0,True
mnist,accuracy_epoch_1,nn_has_residual,21301,0.085014,0.0,-0.071108,0.0,0.071108,0.0,True,0.0,True
cifar-10,accuracy_epoch_50,prm__momentum,2106,0.084404,0.0,0.068089,0.001769,0.068089,0.0,True,0.0026535,True
places365,accuracy_epoch_1,nn_max_depth,1699,0.083883,0.0,0.084019,0.000527,0.084019,0.0,True,0.0008395655172413793,True
cifar-100,accuracy_epoch_5,nn_max_depth,15252,0.083862,0.0,-0.078821,0.0,0.078821,0.0,True,0.0,True
svhn,accuracy_epoch_50,nn_total_params,637,0.083352,0.034497,0.07312,0.065138,0.07312,0.04378465384615385,True,0.0831319226519337,False
cifar-10,accuracy_epoch_50,nn_dropout_count,2039,0.082361,0.0,0.019414,0.380922,0.019414,0.0,True,0.4250868695652174,False
mnist,accuracy_epoch_1,nn_max_depth,21301,0.074901,0.0,-0.071762,0.0,0.071762,0.0,True,0.0,True
svhn,accuracy_epoch_5,nn_total_params,17631,0.074292,0.0,-0.066256,0.0,0.066256,0.0,True,0.0,True
cifar-10,accuracy_epoch_5,prm__dropout,16511,0.07423,0.0,-0.024398,0.001717,0.024398,0.0,True,0.002592333333333333,True
cifar-10,accuracy_epoch_50,nn_has_residual,2039,0.073635,0.0,0.028534,0.197774,0.028534,0.0,True,0.2330907857142857,False
imagenette,accuracy_epoch_1,nn_total_layers,17978,0.072974,0.0,0.029118,9.4e-05,0.029118,0.0,True,0.00015621582733812948,True
places365,accuracy_epoch_5,nn_total_layers,1089,0.072834,0.008091,0.020757,0.493803,0.020757,0.010619437499999999,True,0.5355328309859155,False
imagenette,accuracy_epoch_5,nn_has_residual,13783,0.071339,0.0,-0.067639,0.0,0.067639,0.0,True,0.0,True
cifar-10,accuracy_epoch_50,prm__lr,2106,0.0707,0.0,0.125154,0.0,0.125154,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_has_attention,13783,0.066437,0.0,-0.066024,0.0,0.066024,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_flops,14265,0.066218,0.0,0.03645,1.3e-05,0.03645,0.0,True,2.2923664122137405e-05,True
places365,accuracy_epoch_1,nn_has_attention,1699,0.065086,3e-06,-0.041466,0.087514,0.041466,4.3043478260869565e-06,True,0.11107546153846153,False
places365,accuracy_epoch_1,nn_flops,1699,0.063159,0.002803,0.049588,0.040981,0.049588,0.003721224137931034,True,0.05409491999999999,False
