dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,delta_exploratory,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
cifar-100,accuracy_epoch_5,prm__batch,15352,0.248783,0.0,-0.190284,0.0,0.190284,0.058499,0.0,True,0.0,True
imagenette,accuracy_epoch_1,nn_total_params,224,0.11704,0.532308,0.059118,0.378527,0.059118,0.057922,0.6190024210526315,False,0.4771017395833333,False
svhn,accuracy_epoch_1,nn_dropout_count,433,0.063031,0.497942,-0.005798,0.904239,0.005798,0.057232,0.5931479313725491,False,0.9354985726495727,False
cifar-100,accuracy_epoch_50,prm__batch,395,0.081108,0.4742,-0.025366,0.615232,0.025366,0.055742,0.5854918367346938,False,0.7089816380952381,False
svhn,accuracy_epoch_5,nn_total_params,127,0.171973,0.189958,0.118372,0.185018,0.118372,0.053601,0.27362997619047613,False,0.2618383391812865,False
cifar-10,accuracy_epoch_1,nn_total_params,11958,0.195559,0.0,0.142874,0.0,0.142874,0.052685,0.0,True,0.0,True
imagenette,best_accuracy,prm__batch,3235,0.311065,0.0,-0.259172,0.0,0.259172,0.051893,0.0,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_total_layers,3171,0.099821,0.0,0.048023,0.006836,0.048023,0.051798,0.0,True,0.013559934426229507,True
celeba-gender,accuracy_epoch_50,prm__dropout,254,0.074662,0.629708,-0.023496,0.709391,0.023496,0.051166,0.7055061851851853,False,0.7838932511415525,False
cifar-10,accuracy_epoch_50,prm__weight_decay,181,0.204373,0.001235,0.154094,0.038346,0.154094,0.050279,0.002150143884892086,True,0.06489323076923076,False
