dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
celeba-gender,accuracy_epoch_5,nn_total_layers,9640,0.116442,0.004975,0.088794,0.0,0.088794,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_total_layers,13783,0.116227,0.004975,0.067099,0.0,0.067099,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_has_residual,2039,0.114076,0.00995,0.028534,0.197774,0.028534,0.016301063829787237,True,0.2330907857142857,False
svhn,accuracy_epoch_5,nn_flops,17631,0.112841,0.004975,0.061537,0.0,0.061537,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_dropout_count,13783,0.111782,0.004975,0.273944,0.0,0.273944,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,prm__lr,20991,0.108925,0.004975,0.177219,0.0,0.177219,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,prm__batch,21395,0.107397,0.004975,-0.329221,0.0,0.329221,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_flops,21301,0.106992,0.004975,0.133198,0.0,0.133198,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,prm__lr,23222,0.105913,0.004975,0.227004,0.0,0.227004,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_max_depth,16467,0.102545,0.004975,-0.250779,0.0,0.250779,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,nn_dropout_count,42577,0.102258,0.004975,-0.132924,0.0,0.132924,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,prm__batch,9734,0.100765,0.004975,-0.299749,0.0,0.299749,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,prm__lr,18088,0.098217,0.004975,0.013925,0.061105,0.013925,0.008512777777777779,True,0.07841808333333333,False
cifar-100,accuracy_epoch_5,nn_dropout_count,15252,0.096802,0.004975,0.180557,0.0,0.180557,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_flops,9640,0.09406,0.004975,0.049281,1e-06,0.049281,0.008512777777777779,True,1.8780487804878048e-06,True
cifar-10,accuracy_epoch_5,prm__dropout,16511,0.093256,0.004975,-0.024398,0.001717,0.024398,0.008512777777777779,True,0.002592333333333333,True
mnist,accuracy_epoch_1,nn_dropout_count,21301,0.086478,0.004975,0.18134,0.0,0.18134,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_5,prm__batch,17729,0.085359,0.004975,-0.260261,0.0,0.260261,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_total_layers,15252,0.084758,0.004975,0.145397,0.0,0.145397,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,prm__momentum,25260,0.084321,0.004975,0.138207,0.0,0.138207,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_has_attention,2039,0.084022,0.004975,-0.118952,0.0,0.118952,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_total_layers,21301,0.083472,0.004975,0.112545,0.0,0.112545,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,prm__batch,23222,0.083445,0.004975,-0.253384,0.0,0.253384,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_total_params,20879,0.080686,0.004975,-0.161664,0.0,0.161664,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,nn_max_depth,13783,0.078043,0.004975,-0.200078,0.0,0.200078,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,prm__batch,20991,0.077727,0.004975,-0.288057,0.0,0.288057,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_max_depth,20879,0.076851,0.004975,0.217091,0.0,0.217091,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_total_layers,17978,0.075883,0.004975,0.029118,9.4e-05,0.029118,0.008512777777777779,True,0.00015621582733812948,True
cifar-100,accuracy_epoch_1,nn_total_layers,20879,0.07564,0.004975,0.08823,0.0,0.08823,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,prm__batch,25260,0.074018,0.004975,-0.210498,0.0,0.210498,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_dropout_count,20879,0.072422,0.004975,-0.203888,0.0,0.203888,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,nn_max_depth,15252,0.067968,0.004975,-0.078821,0.0,0.078821,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_max_depth,17978,0.067603,0.004975,0.12534,0.0,0.12534,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_1,nn_flops,20879,0.067419,0.004975,0.06585,0.0,0.06585,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_total_params,17978,0.066254,0.004975,-0.091402,0.0,0.091402,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,nn_dropout_count,25116,0.065886,0.004975,0.140719,0.0,0.140719,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,prm__batch,13879,0.064134,0.004975,-0.213107,0.0,0.213107,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,prm__batch,15347,0.063098,0.004975,-0.190444,0.0,0.190444,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,nn_dropout_count,17978,0.062983,0.004975,-0.115956,0.0,0.115956,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_1,prm__batch,18088,0.062326,0.004975,-0.234953,0.0,0.234953,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__dropout,11928,0.062118,0.004975,-0.010482,0.25234,0.010482,0.008512777777777779,True,0.2885670297029703,False
imagenette,accuracy_epoch_1,nn_flops,17978,0.061912,0.004975,0.031712,2.1e-05,0.031712,0.008512777777777779,True,3.6201492537313426e-05,True
mnist,accuracy_epoch_1,nn_max_depth,21301,0.060101,0.004975,-0.071762,0.0,0.071762,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,prm__momentum,13879,0.056984,0.024876,0.009261,0.27531,0.009261,0.038826729729729725,True,0.3132837931034483,False
celeba-gender,accuracy_epoch_5,nn_has_residual,9640,0.055496,0.004975,0.059452,0.0,0.059452,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,prm__momentum,15347,0.054799,0.029851,0.03153,9.4e-05,0.03153,0.045666099337748345,True,0.00015621582733812948,True
celeba-gender,accuracy_epoch_1,nn_has_residual,14265,0.053398,0.004975,0.071227,0.0,0.071227,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,prm__momentum,16547,0.053129,0.014925,0.041466,0.0,0.041466,0.024109615384615386,True,0.0,True
svhn,accuracy_epoch_1,prm__dropout,18954,0.051812,0.004975,-0.023586,0.001165,0.023586,0.008512777777777779,True,0.0017822185430463576,True
