dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
imagenette,accuracy_epoch_5,prm__batch,13879,0.064134,0.004975,-0.213107,0.0,0.213107,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_5,prm__dropout,10278,0.060186,0.532338,0.001152,0.907035,0.001152,0.6472109368421053,False,0.9312226000000001,False
imagenette,accuracy_epoch_5,prm__momentum,13879,0.056984,0.024876,0.009261,0.27531,0.009261,0.038826729729729725,True,0.3132837931034483,False
imagenette,accuracy_epoch_5,nn_has_residual,13783,0.039443,1.0,-0.067639,0.0,0.067639,1.0,False,0.0,True
imagenette,accuracy_epoch_5,nn_has_attention,13783,0.029655,1.0,-0.066024,0.0,0.066024,1.0,False,0.0,True
imagenette,accuracy_epoch_50,nn_total_params,620,0.32176,0.004975,0.173266,1.4e-05,0.173266,0.008512777777777779,True,2.45e-05,True
imagenette,accuracy_epoch_50,nn_total_layers,620,0.298065,0.004975,0.300411,0.0,0.300411,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_flops,620,0.284816,0.004975,0.327881,0.0,0.327881,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,prm__lr,639,0.219862,0.004975,0.342317,0.0,0.342317,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_has_attention,620,0.193977,0.004975,-0.190253,2e-06,0.190253,0.008512777777777779,True,3.637795275590551e-06,True
imagenette,accuracy_epoch_50,nn_dropout_count,620,0.191489,0.004975,0.085072,0.034187,0.085072,0.008512777777777779,True,0.04564853757225434,True
imagenette,accuracy_epoch_50,prm__dropout,368,0.169218,0.756219,0.002146,0.967269,0.002146,0.8690875074626866,False,0.9736408956521739,False
imagenette,accuracy_epoch_50,nn_max_depth,620,0.152258,0.199005,0.086631,0.031021,0.086631,0.26883131578947367,False,0.041661924418604654,True
imagenette,accuracy_epoch_50,prm__momentum,639,0.150144,0.60199,0.036138,0.361757,0.036138,0.7168025257731959,False,0.4056595485436893,False
imagenette,accuracy_epoch_50,nn_has_residual,620,0.138988,0.323383,0.047531,0.237283,0.047531,0.4173266648044692,False,0.274537725,False
imagenette,accuracy_epoch_50,prm__batch,639,0.138928,0.666667,-0.030196,0.44607,0.030196,0.7857146785714286,False,0.49302473684210524,False
mnist,accuracy_epoch_1,prm__lr,21395,0.189875,0.004975,0.359819,0.0,0.359819,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_total_params,21301,0.124699,0.004975,0.193557,0.0,0.193557,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,prm__batch,21395,0.107397,0.004975,-0.329221,0.0,0.329221,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_flops,21301,0.106992,0.004975,0.133198,0.0,0.133198,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_dropout_count,21301,0.086478,0.004975,0.18134,0.0,0.18134,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_total_layers,21301,0.083472,0.004975,0.112545,0.0,0.112545,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,nn_max_depth,21301,0.060101,0.004975,-0.071762,0.0,0.071762,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_1,prm__dropout,16527,0.051082,0.303483,0.012498,0.108138,0.012498,0.3938459157303371,False,0.13502636756756756,False
mnist,accuracy_epoch_1,prm__momentum,21395,0.047206,1.0,0.026549,0.000103,0.026549,1.0,False,0.00016994999999999998,True
mnist,accuracy_epoch_1,nn_has_residual,21301,0.04044,1.0,-0.071108,0.0,0.071108,1.0,False,0.0,True
mnist,accuracy_epoch_1,nn_has_attention,21301,0.023486,1.0,-0.03273,2e-06,0.03273,1.0,False,3.637795275590551e-06,True
mnist,accuracy_epoch_5,prm__lr,16547,0.24597,0.004975,0.417153,0.0,0.417153,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_total_params,16467,0.223005,0.004975,0.376473,0.0,0.376473,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_dropout_count,16467,0.19516,0.004975,0.390802,0.0,0.390802,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_total_layers,16467,0.181404,0.004975,0.136399,0.0,0.136399,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_flops,16467,0.174028,0.004975,0.193725,0.0,0.193725,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,nn_max_depth,16467,0.102545,0.004975,-0.250779,0.0,0.250779,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,prm__dropout,12826,0.05557,0.402985,0.035739,5.2e-05,0.035739,0.5143068232044199,False,8.897777777777778e-05,True
mnist,accuracy_epoch_5,prm__momentum,16547,0.053129,0.014925,0.041466,0.0,0.041466,0.024109615384615386,True,0.0,True
mnist,accuracy_epoch_5,prm__batch,16547,0.048594,1.0,-0.115835,0.0,0.115835,1.0,False,0.0,True
mnist,accuracy_epoch_5,nn_has_residual,16467,0.048438,1.0,-0.094189,0.0,0.094189,1.0,False,0.0,True
mnist,accuracy_epoch_5,nn_has_attention,16467,0.025498,1.0,-0.061851,0.0,0.061851,1.0,False,0.0,True
mnist,accuracy_epoch_50,prm__lr,464,0.312041,0.004975,0.501702,0.0,0.501702,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,prm__dropout,237,0.234271,0.074627,-0.066916,0.30496,0.066916,0.10980150955414013,False,0.3453223529411765,False
mnist,accuracy_epoch_50,nn_total_params,448,0.226888,0.004975,0.224868,2e-06,0.224868,0.008512777777777779,True,3.637795275590551e-06,True
mnist,accuracy_epoch_50,nn_flops,448,0.214719,0.004975,0.294242,0.0,0.294242,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_total_layers,448,0.207947,0.004975,0.236381,0.0,0.236381,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_dropout_count,448,0.187182,0.00995,0.13155,0.005291,0.13155,0.016301063829787237,True,0.007735575949367089,True
mnist,accuracy_epoch_50,nn_has_attention,448,0.180171,0.004975,-0.214361,5e-06,0.214361,0.008512777777777779,True,8.884615384615385e-06,True
mnist,accuracy_epoch_50,prm__batch,464,0.165841,0.079602,-0.117963,0.010989,0.117963,0.11638013924050634,False,0.015573368098159509,True
mnist,accuracy_epoch_50,prm__momentum,464,0.156091,0.60199,0.079077,0.088859,0.079077,0.7168025257731959,False,0.11216627868852459,False
mnist,accuracy_epoch_50,nn_has_residual,448,0.152722,0.208955,0.153136,0.001148,0.153136,0.28063142441860467,False,0.0017740800000000001,True
mnist,accuracy_epoch_50,nn_max_depth,448,0.14703,0.532338,0.064545,0.172644,0.064545,0.6472109368421053,False,0.20557094845360824,False
places365,accuracy_epoch_1,prm__lr,1705,0.2625,0.004975,0.441434,0.0,0.441434,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_1,prm__batch,1705,0.13369,0.004975,-0.224938,0.0,0.224938,0.008512777777777779,True,0.0,True
