held_out_dataset,complexity,equation,loss,train_r2,test_r2
mnist,14,epoch_log*((prm__batch + exp(epoch_log))**(-2.0819936))**0.08847293 - 8.218204/nn_total_layers,0.83220613,0.3540453208370421,0.194631916156499
mnist,15,epoch_log*((2.8618784**epoch_log + prm__batch)**(-2.3637187))**0.07505602 - 8.122753/nn_total_layers,0.83212334,0.35622991357797884,0.18248471050487747
mnist,16,epoch_log*((nn_max_depth + prm__batch + exp(epoch_log))**(-2.2879832))**0.0781545 - 8.455343/nn_total_layers,0.83154774,0.35686079159032125,0.17835688468477873
mnist,17,(epoch_log + 1.8072417)*((prm__batch + 66.10439)**(-1.5739433))**0.11041567 - 0.7343964 - 8.0837965/nn_total_layers,0.82508016,0.359709070910891,0.18754712981564303
mnist,19,(epoch_log + 1.8072417)*((prm__batch + 66.10439)**(-1.5739433))**0.11041567 - 0.7343964 - 8.0837965/(nn_total_layers + 0.23104876),0.8249326,,
mnist,20,(epoch_log + 1.8072417)*((prm__batch + 66.10439)**(-1.5739433))**0.11041567 - 0.7343964 - 8.0837965/(nn_total_layers + 0.34495386),0.8248934,,
mnist,21,(epoch_log + 0.90832317)*((1.977728**(epoch_log + 3.2570484) + prm__batch)**(-2.1991487))**0.0663684 - 0.53564364 - 8.1160755/nn_total_layers,0.8221036,,
mnist,22,(epoch_log + 0.7701534)*((3.0294273**epoch_log + nn_max_depth**2 + prm__batch)**(-1.883326))**0.08468889 - 0.43294445 - 8.329468/nn_total_layers,0.82129806,,
mnist,23,(epoch_log + 1.3737108)*((2.6859243**epoch_log + prm__batch*0.26268893 + 9.503228)**(-1.6597761))**0.10578893 - 0.7756624 - 8.15159/nn_total_layers,0.8176608,,
mnist,25,(epoch_log + 1.3737108)*((2.6859243**epoch_log + nn_max_depth + prm__batch*0.26268893 + 8.254799)**(-1.6597761))**0.10578893 - 0.7756624 - 8.15159/nn_total_layers,0.8171567,,
places365,1,0.259060600000000,1.2459134,0.2313815446395231,0.11866963971352906
places365,3,epoch_log/3.2248883,0.95763236,0.30079165705436517,0.196890226782661
places365,5,epoch_log/2.3870518 - 0.30194598,0.9106985,0.3234002176177073,0.1960913545769375
places365,7,epoch_log*0.40533045 - 7.4882736/nn_total_layers,0.87115324,0.33517800333591297,0.16808935793161128
places365,8,0.395472848297485*epoch_log - 0.02099291*sqrt(prm__batch),0.8552572,0.3360864859260041,0.15133330833231606
places365,10,sqrt(epoch_log/prm__batch**0.19310382) - 9.033692/nn_total_layers,0.842985,0.341738499609453,0.15554410120889162
places365,12,sqrt(epoch_log/(0.007938526*prm__batch + 1.3394104)) - 8.843673/nn_total_layers,0.8329906,0.3458139221754222,0.1570569971116451
places365,13,epoch_log/(sqrt(epoch_log) + 0.0752523022903619*sqrt(prm__batch)) - 8.835993/nn_total_layers,0.8283108,0.3472435702372314,0.15291061664018657
places365,14,epoch_log/sqrt(epoch_log + 0.017176025*prm__batch + 0.732496) - 9.668388/nn_total_layers,0.8271789,0.353758233287386,0.16009308874717976
places365,15,epoch_log/sqrt(epoch_log + 0.01053939*prm__batch + log(nn_max_depth)) - 9.170863/nn_total_layers,0.8223258,0.356208405852091,0.1735586736514637
places365,16,(epoch_log + 0.15339641)/sqrt(epoch_log + 0.017176025*prm__batch + 1.1183696) - 9.668388/nn_total_layers,0.820137,0.3568195042165424,0.17250044490762462
places365,17,(epoch_log + 0.16727084)/sqrt(epoch_log + 0.019917643*prm__batch + log(nn_max_depth)) - 10.261605/nn_total_layers,0.81553346,0.35858827594182474,0.16823220093430724
places365,18,1.19625352535914*(epoch_log + 0.30229142)/sqrt(epoch_log + nn_max_depth + 0.02301674*prm__batch) - 11.281133694251/nn_total_layers,0.8150594,0.3586009442072887,0.1694874273865422
places365,20,1.28119944867425*(epoch_log + 0.7036043)/sqrt(epoch_log + nn_max_depth + 0.01952916*prm__batch) - 0.34610838 - 9.495536/nn_total_layers,0.8132782,,
places365,21,(epoch_log + 1.0608903)/(epoch_log**2 + nn_max_depth + 0.054121226*prm__batch)**(1/4) - 0.63984793 - 9.647056/nn_total_layers,0.8051615,,
places365,23,(epoch_log + 1.316464)/(epoch_log*nn_max_depth + 0.031784374*prm__batch + 2.1820424)**(1/4) - 0.84268653 - 8.654073/(-epoch_log + nn_total_layers),0.80210876,,
places365,25,(epoch_log + 1.2680682)/(epoch_log*nn_max_depth + 0.031784374*prm__batch + 2.1820424)**(1/4) - 0.84268653 - 8.654073/(-epoch_log + nn_total_layers + 0.6404496),0.8013473,,
places365,27,(epoch_log + 1.3523145)/(epoch_log*nn_max_depth + 0.032578252*prm__batch + 2.1673596)**(1/4) - 0.8931955 - 8.637891/(-epoch_log + nn_max_depth + nn_total_layers - 1.3415451),0.7991437,,
places365,29,(epoch_log + 1.3415451)/(epoch_log*nn_max_depth + 0.032578252*prm__batch + 2.1673596)**(1/4) - 0.882426116 - 8.637891/(-epoch_log + nn_max_depth + nn_total_layers - 1.3415451),0.79912776,,
svhn,1,0.233985630000000,1.2092737,0.24096215056322545,0.01924360010329984
svhn,3,epoch_log/3.1568193,0.9178845,0.28497514024837034,0.06391114616165061
svhn,4,sqrt(epoch_log) - 0.59352267,0.9064659,0.28528046478121094,0.03534196035442305
svhn,5,(epoch_log - 1*0.72862715)*0.43493584,0.8646608,0.31642274089151,0.08716125562034749
svhn,6,sqrt(epoch_log + 0.22138524) - 0.8314395,0.8642915,0.31820382153616233,0.04902550493627389
svhn,7,(epoch_log - 18.533356/nn_total_layers)*0.41158974,0.8266321,0.3224343436434737,0.07423159832452886
